Sample Number (#),Time (ms),Neck right / left lateral bending (+/-),Neck right / left rotation (+/-),Neck flexion / extension (+/-),Back right / left lateral bending (+/-),Back right / left rotation (+/-),Back flexion / extension (+/-),Shoulder (L) abduction / adduction (+/-),Shoulder (L) internal / external rotation (+/-),Shoulder (L) flexion / extension (+/-),Shoulder (R) abduction / adduction (+/-),Shoulder (R) internal / external rotation (+/-),Shoulder (R) flexion / extension (+/-),Elbow (L) supination / pronation (+/-),Elbow (L) flexion / extension (+/-),Elbow (R) supination / pronation (+/-),Elbow (R) flexion / extension (+/-),Wrist (L) flexion / extension (+/-),Wrist (L) ulnar / radial deviation (+/-),Wrist (R) flexion / extension (+/-),Wrist (R) ulnar / radial deviation (+/-),Hip (L) abduction / adduction (+/-),Hip (L) internal / external rotation (+/-),Hip (L) flexion / extension (+/-),Hip (R) abduction / adduction (+/-),Hip (R) internal / external rotation (+/-),Hip (R) flexion / extension (+/-),Knee (L) valgus / varus (+/-),Knee (L) internal / external rotation (+/-),Knee (L) flexion / extension (+/-),Knee (R) valgus / varus (+/-),Knee (R) internal / external rotation (+/-),Knee (R) flexion / extension (+/-),Ankle (L) eversion / inversion (+/-),Ankle (L) abduction / adduction (+/-),Ankle (L) dorsiflexion / plantarflexion (+/-),Ankle (R) eversion / inversion (+/-),Ankle (R) abduction / adduction (+/-),Ankle (R) dorsiflexion / plantarflexion (+/-)
71,0.5469,-0.07,0.25,-0.62,0.02,-0.04,-0.72,6.3,0.02,-9.01,11.35,-0.43,20.73,1.48,16.27,-1.77,-6.1,5.8,-6.11,2.58,9.71,0.09,0.11,11.19,-0.11,-0.03,13.51,1.48,-0.11,12.92,-2.29,-0.18,10.88,1.42,-0.19,1.38,-2.24,-0.14,-3.01
72,0.5547,-0.07,0.25,-0.63,0.02,-0.04,-0.73,6.3,0.01,-9.02,11.35,-0.43,20.73,1.47,16.27,-1.78,-6.1,5.8,-6.12,2.58,9.71,0.09,0.11,11.19,-0.11,-0.03,13.51,1.49,-0.11,12.92,-2.29,-0.18,10.88,1.41,-0.19,1.38,-2.24,-0.14,-3
73,0.5625,-0.08,0.25,-0.63,0.02,-0.04,-0.73,6.3,0.01,-9.02,11.34,-0.43,20.72,1.47,16.27,-1.78,-6.1,5.81,-6.12,2.58,9.71,0.09,0.11,11.19,-0.1,-0.03,13.51,1.49,-0.11,12.93,-2.29,-0.18,10.88,1.41,-0.19,1.38,-2.24,-0.14,-3
74,0.5703,-0.08,0.25,-0.63,0.02,-0.04,-0.73,6.31,0.01,-9.03,11.34,-0.43,20.72,1.47,16.26,-1.78,-6.1,5.81,-6.12,2.58,9.71,0.09,0.12,11.19,-0.1,-0.03,13.51,1.49,-0.11,12.93,-2.29,-0.18,10.88,1.41,-0.18,1.38,-2.24,-0.14,-3
75,0.5781,-0.08,0.25,-0.62,0.02,-0.04,-0.73,6.31,0.01,-9.03,11.33,-0.44,20.72,1.46,16.26,-1.79,-6.1,5.81,-6.12,2.58,9.71,0.09,0.12,11.19,-0.1,-0.03,13.51,1.49,-0.11,12.93,-2.29,-0.18,10.89,1.41,-0.19,1.38,-2.24,-0.14,-3
76,0.5859,-0.08,0.25,-0.62,0.02,-0.04,-0.74,6.31,0,-9.03,11.33,-0.44,20.72,1.46,16.26,-1.79,-6.1,5.81,-6.12,2.58,9.71,0.1,0.12,11.19,-0.1,-0.03,13.51,1.49,-0.11,12.93,-2.29,-0.18,10.89,1.42,-0.19,1.38,-2.24,-0.14,-3
77,0.5938,-0.08,0.25,-0.62,0.02,-0.03,-0.74,6.32,0,-9.03,11.33,-0.44,20.72,1.46,16.25,-1.79,-6.1,5.81,-6.12,2.57,9.71,0.1,0.12,11.19,-0.1,-0.03,13.51,1.49,-0.11,12.94,-2.29,-0.18,10.89,1.42,-0.19,1.38,-2.24,-0.14,-3
78,0.6016,-0.08,0.26,-0.61,0.02,-0.03,-0.73,6.32,-0.01,-9.03,11.32,-0.44,20.72,1.46,16.25,-1.8,-6.1,5.81,-6.12,2.57,9.71,0.1,0.12,11.19,-0.1,-0.03,13.51,1.49,-0.11,12.93,-2.29,-0.18,10.89,1.42,-0.18,1.38,-2.24,-0.15,-3
79,0.6094,-0.08,0.26,-0.6,0.02,-0.03,-0.73,6.32,-0.01,-9.02,11.32,-0.43,20.72,1.46,16.25,-1.8,-6.1,5.81,-6.12,2.57,9.71,0.1,0.11,11.19,-0.1,-0.03,13.51,1.5,-0.11,12.93,-2.29,-0.18,10.9,1.42,-0.18,1.38,-2.24,-0.15,-3
80,0.6172,-0.08,0.26,-0.59,0.02,-0.03,-0.73,6.32,-0.02,-9.02,11.32,-0.43,20.73,1.46,16.24,-1.8,-6.1,5.81,-6.12,2.58,9.71,0.1,0.11,11.19,-0.1,-0.02,13.51,1.5,-0.1,12.94,-2.29,-0.18,10.9,1.42,-0.18,1.38,-2.24,-0.15,-3
81,0.625,-0.08,0.26,-0.57,0.03,-0.02,-0.72,6.32,-0.02,-9.01,11.32,-0.43,20.73,1.46,16.24,-1.81,-6.1,5.8,-6.12,2.58,9.71,0.1,0.11,11.19,-0.1,-0.02,13.51,1.5,-0.1,12.94,-2.29,-0.19,10.9,1.42,-0.18,1.38,-2.24,-0.15,-3
82,0.6328,-0.07,0.26,-0.56,0.03,-0.02,-0.72,6.32,-0.03,-9.01,11.31,-0.43,20.74,1.45,16.24,-1.81,-6.1,5.8,-6.12,2.58,9.71,0.1,0.11,11.18,-0.11,-0.02,13.51,1.5,-0.1,12.94,-2.29,-0.18,10.9,1.42,-0.18,1.38,-2.24,-0.15,-3
83,0.6406,-0.07,0.25,-0.54,0.03,-0.01,-0.71,6.32,-0.04,-9,11.31,-0.42,20.74,1.45,16.23,-1.81,-6.1,5.8,-6.13,2.57,9.71,0.1,0.11,11.18,-0.11,-0.02,13.51,1.5,-0.1,12.94,-2.29,-0.18,10.9,1.42,-0.18,1.38,-2.24,-0.15,-3
84,0.6484,-0.07,0.25,-0.52,0.03,-0.01,-0.7,6.32,-0.04,-9,11.31,-0.42,20.75,1.45,16.23,-1.82,-6.1,5.8,-6.13,2.57,9.71,0.1,0.11,11.18,-0.11,-0.02,13.51,1.5,-0.1,12.94,-2.3,-0.18,10.91,1.42,-0.18,1.38,-2.24,-0.15,-2.99
85,0.6563,-0.07,0.24,-0.5,0.04,0,-0.69,6.32,-0.05,-8.99,11.31,-0.41,20.76,1.45,16.23,-1.81,-6.1,5.8,-6.13,2.57,9.71,0.1,0.11,11.18,-0.11,-0.03,13.51,1.5,-0.1,12.94,-2.3,-0.18,10.91,1.42,-0.18,1.37,-2.24,-0.15,-2.99
86,0.6641,-0.07,0.24,-0.47,0.04,0,-0.68,6.32,-0.05,-8.98,11.31,-0.4,20.77,1.45,16.23,-1.81,-6.1,5.8,-6.13,2.57,9.71,0.1,0.11,11.18,-0.11,-0.03,13.5,1.5,-0.1,12.93,-2.3,-0.18,10.91,1.43,-0.18,1.37,-2.24,-0.15,-3
87,0.6719,-0.06,0.23,-0.45,0.04,0.01,-0.67,6.32,-0.05,-8.97,11.31,-0.39,20.78,1.45,16.23,-1.8,-6.1,5.81,-6.13,2.57,9.71,0.1,0.11,11.18,-0.12,-0.03,13.5,1.5,-0.1,12.93,-2.3,-0.18,10.91,1.43,-0.18,1.37,-2.24,-0.15,-3
88,0.6797,-0.06,0.22,-0.44,0.05,0.01,-0.66,6.32,-0.05,-8.97,11.32,-0.38,20.78,1.45,16.23,-1.8,-6.1,5.81,-6.13,2.57,9.71,0.1,0.1,11.18,-0.12,-0.03,13.5,1.5,-0.1,12.93,-2.3,-0.18,10.91,1.43,-0.18,1.37,-2.24,-0.16,-3
89,0.6875,-0.06,0.22,-0.42,0.05,0.02,-0.65,6.31,-0.05,-8.96,11.32,-0.37,20.79,1.45,16.23,-1.79,-6.1,5.82,-6.13,2.57,9.71,0.1,0.1,11.18,-0.12,-0.03,13.5,1.5,-0.1,12.93,-2.3,-0.18,10.91,1.43,-0.18,1.37,-2.24,-0.16,-3
90,0.6953,-0.05,0.21,-0.41,0.05,0.02,-0.65,6.31,-0.05,-8.96,11.32,-0.36,20.8,1.45,16.23,-1.78,-6.09,5.82,-6.14,2.57,9.71,0.1,0.1,11.18,-0.12,-0.03,13.5,1.5,-0.1,12.93,-2.3,-0.18,10.91,1.43,-0.18,1.37,-2.24,-0.16,-2.99
91,0.7031,-0.05,0.21,-0.4,0.05,0.03,-0.64,6.31,-0.04,-8.95,11.32,-0.35,20.8,1.45,16.24,-1.77,-6.09,5.83,-6.14,2.56,9.71,0.1,0.1,11.18,-0.12,-0.03,13.51,1.5,-0.1,12.93,-2.3,-0.18,10.92,1.43,-0.18,1.37,-2.24,-0.16,-2.99
92,0.7109,-0.05,0.2,-0.39,0.06,0.03,-0.63,6.31,-0.04,-8.95,11.33,-0.34,20.81,1.45,16.24,-1.77,-6.09,5.83,-6.14,2.56,9.71,0.1,0.09,11.18,-0.12,-0.02,13.51,1.5,-0.1,12.93,-2.3,-0.18,10.92,1.43,-0.18,1.36,-2.24,-0.16,-2.99
93,0.7188,-0.04,0.2,-0.38,0.06,0.03,-0.63,6.31,-0.04,-8.94,11.33,-0.34,20.81,1.45,16.24,-1.76,-6.09,5.84,-6.14,2.56,9.72,0.1,0.1,11.18,-0.12,-0.02,13.51,1.5,-0.1,12.93,-2.3,-0.18,10.92,1.43,-0.18,1.37,-2.24,-0.16,-2.99
94,0.7266,-0.04,0.2,-0.38,0.06,0.04,-0.62,6.31,-0.04,-8.93,11.33,-0.33,20.82,1.45,16.24,-1.76,-6.09,5.84,-6.14,2.56,9.72,0.1,0.1,11.18,-0.12,-0.02,13.51,1.5,-0.1,12.93,-2.3,-0.18,10.92,1.44,-0.18,1.37,-2.24,-0.16,-2.99
95,0.7344,-0.04,0.19,-0.38,0.07,0.04,-0.61,6.31,-0.03,-8.93,11.33,-0.33,20.82,1.45,16.23,-1.75,-6.09,5.84,-6.14,2.56,9.72,0.1,0.1,11.18,-0.13,-0.02,13.51,1.5,-0.1,12.94,-2.3,-0.18,10.93,1.44,-0.19,1.37,-2.24,-0.16,-2.99
96,0.7422,-0.03,0.19,-0.38,0.07,0.05,-0.61,6.31,-0.03,-8.92,11.34,-0.33,20.83,1.45,16.23,-1.75,-6.09,5.84,-6.14,2.56,9.72,0.1,0.1,11.18,-0.13,-0.02,13.51,1.49,-0.1,12.94,-2.31,-0.18,10.93,1.44,-0.19,1.37,-2.24,-0.16,-2.99
97,0.75,-0.03,0.19,-0.38,0.07,0.05,-0.6,6.3,-0.03,-8.92,11.34,-0.32,20.83,1.45,16.23,-1.74,-6.09,5.84,-6.14,2.56,9.72,0.1,0.1,11.18,-0.13,-0.02,13.51,1.49,-0.1,12.94,-2.31,-0.18,10.93,1.44,-0.19,1.37,-2.24,-0.16,-3
98,0.7578,-0.03,0.19,-0.39,0.07,0.06,-0.59,6.3,-0.03,-8.91,11.34,-0.32,20.84,1.46,16.23,-1.74,-6.09,5.85,-6.14,2.56,9.72,0.1,0.09,11.18,-0.14,-0.02,13.51,1.49,-0.1,12.94,-2.32,-0.18,10.94,1.44,-0.19,1.37,-2.24,-0.16,-2.99
99,0.7656,-0.03,0.18,-0.39,0.08,0.06,-0.58,6.3,-0.03,-8.9,11.34,-0.32,20.84,1.46,16.22,-1.74,-6.08,5.85,-6.15,2.55,9.72,0.09,0.09,11.17,-0.14,-0.02,13.51,1.49,-0.1,12.94,-2.32,-0.19,10.94,1.44,-0.19,1.37,-2.24,-0.16,-2.99
100,0.7734,-0.03,0.18,-0.4,0.08,0.06,-0.57,6.3,-0.03,-8.9,11.34,-0.32,20.85,1.46,16.22,-1.73,-6.08,5.85,-6.15,2.55,9.72,0.09,0.09,11.17,-0.15,-0.01,13.52,1.49,-0.11,12.94,-2.33,-0.19,10.95,1.44,-0.19,1.37,-2.24,-0.17,-2.99
101,0.7813,-0.03,0.18,-0.4,0.08,0.06,-0.56,6.3,-0.03,-8.88,11.34,-0.32,20.85,1.47,16.21,-1.73,-6.08,5.85,-6.15,2.55,9.72,0.09,0.09,11.17,-0.16,-0.01,13.52,1.49,-0.11,12.94,-2.34,-0.19,10.96,1.44,-0.19,1.37,-2.23,-0.17,-2.99
102,0.7891,-0.03,0.18,-0.39,0.08,0.06,-0.55,6.29,-0.03,-8.87,11.34,-0.32,20.86,1.47,16.21,-1.73,-6.07,5.85,-6.15,2.55,9.72,0.09,0.1,11.17,-0.16,-0.01,13.52,1.48,-0.11,12.94,-2.34,-0.19,10.97,1.44,-0.19,1.37,-2.23,-0.16,-2.99
103,0.7969,-0.03,0.19,-0.39,0.08,0.06,-0.53,6.29,-0.03,-8.86,11.34,-0.32,20.87,1.48,16.2,-1.73,-6.07,5.85,-6.15,2.55,9.72,0.09,0.09,11.17,-0.17,-0.01,13.52,1.48,-0.11,12.95,-2.35,-0.19,10.97,1.44,-0.19,1.37,-2.23,-0.16,-2.99
104,0.8047,-0.04,0.19,-0.39,0.08,0.06,-0.52,6.29,-0.02,-8.85,11.34,-0.32,20.88,1.48,16.2,-1.73,-6.06,5.85,-6.15,2.54,9.72,0.09,0.09,11.17,-0.17,0,13.52,1.48,-0.11,12.95,-2.36,-0.19,10.98,1.44,-0.19,1.37,-2.23,-0.16,-2.98
105,0.8125,-0.04,0.19,-0.38,0.08,0.06,-0.5,6.28,-0.02,-8.84,11.34,-0.32,20.88,1.48,16.2,-1.72,-6.06,5.85,-6.15,2.54,9.72,0.09,0.09,11.16,-0.18,0,13.52,1.48,-0.11,12.96,-2.37,-0.19,10.99,1.44,-0.19,1.37,-2.23,-0.16,-2.98
106,0.8203,-0.04,0.19,-0.37,0.08,0.06,-0.49,6.28,-0.02,-8.83,11.34,-0.31,20.89,1.49,16.2,-1.72,-6.05,5.85,-6.15,2.54,9.72,0.09,0.09,11.16,-0.19,0.01,13.52,1.48,-0.11,12.96,-2.37,-0.19,11,1.44,-0.19,1.37,-2.23,-0.15,-2.98
107,0.8281,-0.04,0.19,-0.36,0.08,0.05,-0.47,6.28,-0.02,-8.82,11.34,-0.31,20.89,1.49,16.2,-1.71,-6.05,5.84,-6.15,2.54,9.72,0.09,0.09,11.16,-0.19,0.02,13.52,1.48,-0.11,12.96,-2.38,-0.2,11,1.44,-0.19,1.37,-2.23,-0.15,-2.98
108,0.8359,-0.04,0.19,-0.35,0.08,0.05,-0.46,6.28,-0.02,-8.81,11.34,-0.3,20.9,1.49,16.2,-1.69,-6.04,5.84,-6.15,2.54,9.72,0.09,0.09,11.15,-0.2,0.02,13.52,1.48,-0.11,12.96,-2.39,-0.2,11.01,1.45,-0.19,1.37,-2.23,-0.15,-2.97
109,0.8438,-0.04,0.19,-0.34,0.08,0.05,-0.44,6.27,-0.01,-8.8,11.34,-0.28,20.91,1.49,16.2,-1.68,-6.04,5.83,-6.16,2.54,9.73,0.08,0.09,11.15,-0.21,0.03,13.52,1.48,-0.11,12.97,-2.4,-0.21,11.02,1.45,-0.19,1.37,-2.23,-0.14,-2.97
110,0.8516,-0.04,0.19,-0.33,0.08,0.05,-0.42,6.27,-0.01,-8.79,11.34,-0.27,20.92,1.49,16.21,-1.67,-6.04,5.83,-6.16,2.54,9.73,0.08,0.09,11.14,-0.22,0.04,13.52,1.48,-0.11,12.97,-2.41,-0.22,11.02,1.45,-0.19,1.37,-2.23,-0.15,-2.97
111,0.8594,-0.04,0.19,-0.31,0.08,0.05,-0.41,6.27,0,-8.78,11.34,-0.27,20.93,1.5,16.21,-1.66,-6.04,5.83,-6.16,2.54,9.73,0.08,0.1,11.14,-0.22,0.04,13.52,1.48,-0.12,12.97,-2.42,-0.22,11.02,1.45,-0.19,1.37,-2.23,-0.15,-2.97
112,0.8672,-0.03,0.19,-0.3,0.08,0.05,-0.39,6.27,0,-8.78,11.34,-0.26,20.93,1.5,16.22,-1.65,-6.04,5.83,-6.16,2.54,9.73,0.08,0.1,11.14,-0.23,0.05,13.51,1.48,-0.12,12.97,-2.43,-0.23,11.03,1.45,-0.19,1.37,-2.23,-0.15,-2.97
113,0.875,-0.03,0.18,-0.28,0.08,0.05,-0.38,6.27,0.01,-8.77,11.34,-0.26,20.94,1.51,16.22,-1.64,-6.03,5.83,-6.16,2.53,9.73,0.08,0.1,11.14,-0.24,0.05,13.51,1.47,-0.12,12.97,-2.44,-0.24,11.03,1.45,-0.19,1.37,-2.23,-0.15,-2.97
114,0.8828,-0.03,0.18,-0.26,0.08,0.05,-0.37,6.27,0.02,-8.76,11.33,-0.26,20.95,1.51,16.22,-1.64,-6.03,5.83,-6.16,2.53,9.73,0.08,0.11,11.14,-0.25,0.05,13.51,1.47,-0.13,12.97,-2.45,-0.24,11.03,1.45,-0.19,1.37,-2.23,-0.15,-2.97
115,0.8906,-0.03,0.18,-0.25,0.08,0.04,-0.36,6.26,0.03,-8.76,11.33,-0.26,20.96,1.52,16.23,-1.64,-6.03,5.83,-6.16,2.53,9.73,0.08,0.11,11.13,-0.26,0.05,13.51,1.47,-0.13,12.97,-2.46,-0.25,11.03,1.45,-0.19,1.37,-2.23,-0.16,-2.97
116,0.8984,-0.03,0.18,-0.23,0.08,0.04,-0.34,6.26,0.04,-8.75,11.33,-0.26,20.97,1.52,16.23,-1.64,-6.02,5.84,-6.16,2.53,9.73,0.08,0.11,11.13,-0.26,0.05,13.51,1.47,-0.13,12.97,-2.46,-0.25,11.04,1.45,-0.19,1.37,-2.23,-0.16,-2.97
117,0.9063,-0.03,0.18,-0.22,0.08,0.04,-0.34,6.26,0.04,-8.74,11.33,-0.26,20.97,1.53,16.23,-1.64,-6.02,5.84,-6.16,2.53,9.73,0.08,0.11,11.13,-0.26,0.05,13.51,1.47,-0.13,12.97,-2.47,-0.25,11.04,1.45,-0.19,1.37,-2.23,-0.16,-2.97
118,0.9141,-0.03,0.18,-0.21,0.08,0.03,-0.33,6.25,0.05,-8.74,11.33,-0.26,20.97,1.54,16.23,-1.63,-6.02,5.84,-6.16,2.53,9.73,0.08,0.11,11.13,-0.27,0.05,13.51,1.47,-0.13,12.97,-2.47,-0.25,11.04,1.45,-0.19,1.37,-2.23,-0.16,-2.97
119,0.9219,-0.03,0.19,-0.2,0.08,0.03,-0.32,6.25,0.05,-8.73,11.33,-0.26,20.98,1.55,16.23,-1.63,-6.02,5.84,-6.16,2.53,9.73,0.08,0.11,11.13,-0.27,0.06,13.51,1.48,-0.13,12.97,-2.47,-0.25,11.04,1.45,-0.19,1.37,-2.23,-0.16,-2.97
120,0.9297,-0.03,0.19,-0.19,0.08,0.03,-0.31,6.25,0.05,-8.72,11.33,-0.25,20.98,1.56,16.23,-1.62,-6.02,5.84,-6.16,2.53,9.74,0.09,0.12,11.12,-0.27,0.06,13.51,1.48,-0.13,12.97,-2.47,-0.25,11.04,1.45,-0.18,1.36,-2.23,-0.17,-2.97
121,0.9375,-0.03,0.19,-0.18,0.08,0.03,-0.31,6.25,0.04,-8.72,11.33,-0.24,20.98,1.57,16.24,-1.61,-6.02,5.84,-6.16,2.53,9.74,0.09,0.12,11.13,-0.27,0.06,13.51,1.48,-0.14,12.97,-2.48,-0.26,11.04,1.45,-0.19,1.36,-2.23,-0.17,-2.97
122,0.9453,-0.03,0.2,-0.18,0.08,0.02,-0.31,6.25,0.04,-8.71,11.33,-0.23,20.99,1.58,16.24,-1.61,-6.02,5.84,-6.16,2.54,9.74,0.09,0.12,11.13,-0.27,0.06,13.52,1.49,-0.14,12.97,-2.48,-0.26,11.04,1.46,-0.19,1.36,-2.23,-0.17,-2.97
123,0.9531,-0.03,0.2,-0.17,0.08,0.02,-0.3,6.25,0.04,-8.71,11.33,-0.23,20.99,1.58,16.24,-1.6,-6.02,5.84,-6.16,2.54,9.74,0.09,0.12,11.13,-0.27,0.06,13.52,1.49,-0.14,12.97,-2.48,-0.26,11.05,1.46,-0.19,1.36,-2.23,-0.17,-2.97
124,0.9609,-0.03,0.21,-0.16,0.07,0.01,-0.29,6.25,0.04,-8.69,11.33,-0.22,21,1.59,16.24,-1.59,-6.02,5.84,-6.16,2.54,9.74,0.09,0.12,11.13,-0.27,0.07,13.52,1.49,-0.14,12.97,-2.48,-0.26,11.05,1.46,-0.19,1.36,-2.23,-0.17,-2.97
125,0.9688,-0.03,0.21,-0.16,0.07,0.01,-0.29,6.25,0.04,-8.69,11.32,-0.21,21.01,1.6,16.24,-1.59,-6.03,5.84,-6.16,2.55,9.74,0.09,0.12,11.13,-0.28,0.07,13.53,1.49,-0.14,12.97,-2.49,-0.26,11.05,1.46,-0.19,1.36,-2.23,-0.17,-2.97
126,0.9766,-0.03,0.21,-0.15,0.07,0.01,-0.28,6.26,0.03,-8.68,11.32,-0.2,21.02,1.61,16.24,-1.58,-6.03,5.83,-6.16,2.55,9.74,0.09,0.11,11.14,-0.28,0.07,13.53,1.49,-0.14,12.97,-2.49,-0.27,11.05,1.46,-0.19,1.36,-2.23,-0.17,-2.97
127,0.9844,-0.03,0.21,-0.14,0.06,0.01,-0.27,6.26,0.03,-8.67,11.32,-0.19,21.02,1.62,16.24,-1.57,-6.03,5.83,-6.16,2.55,9.74,0.09,0.11,11.14,-0.28,0.08,13.53,1.49,-0.14,12.97,-2.49,-0.27,11.06,1.46,-0.19,1.36,-2.23,-0.17,-2.97
128,0.9922,-0.03,0.21,-0.14,0.06,0.01,-0.27,6.26,0.04,-8.67,11.31,-0.18,21.02,1.62,16.24,-1.56,-6.04,5.83,-6.16,2.55,9.74,0.09,0.12,11.14,-0.28,0.09,13.54,1.49,-0.14,12.97,-2.49,-0.28,11.06,1.46,-0.19,1.35,-2.23,-0.18,-2.97
129,1,-0.03,0.21,-0.13,0.06,0.01,-0.26,6.25,0.03,-8.66,11.31,-0.18,21.03,1.62,16.25,-1.55,-6.04,5.83,-6.16,2.55,9.74,0.09,0.11,11.14,-0.28,0.09,13.54,1.49,-0.14,12.97,-2.5,-0.29,11.06,1.46,-0.19,1.35,-2.23,-0.18,-2.97
130,1.0078,-0.03,0.21,-0.12,0.06,0,-0.25,6.25,0.03,-8.65,11.31,-0.17,21.04,1.63,16.25,-1.54,-6.04,5.84,-6.16,2.54,9.74,0.09,0.11,11.14,-0.28,0.1,13.54,1.49,-0.14,12.97,-2.5,-0.29,11.06,1.47,-0.19,1.35,-2.22,-0.18,-2.97
131,1.0156,-0.03,0.2,-0.11,0.06,0,-0.24,6.25,0.03,-8.64,11.32,-0.16,21.05,1.63,16.25,-1.53,-6.04,5.84,-6.16,2.54,9.74,0.09,0.12,11.14,-0.29,0.1,13.54,1.49,-0.15,12.97,-2.5,-0.3,11.06,1.47,-0.19,1.35,-2.22,-0.17,-2.97
132,1.0234,-0.02,0.2,-0.1,0.06,0.01,-0.23,6.25,0.03,-8.63,11.33,-0.15,21.06,1.63,16.24,-1.52,-6.04,5.84,-6.16,2.54,9.74,0.09,0.12,11.15,-0.29,0.11,13.55,1.49,-0.14,12.97,-2.5,-0.3,11.07,1.47,-0.19,1.35,-2.22,-0.17,-2.97
133,1.0313,-0.01,0.19,-0.09,0.06,0.01,-0.22,6.25,0.03,-8.62,11.33,-0.15,21.07,1.63,16.24,-1.51,-6.04,5.84,-6.16,2.53,9.75,0.09,0.11,11.15,-0.29,0.11,13.55,1.49,-0.14,12.97,-2.5,-0.3,11.07,1.47,-0.19,1.35,-2.22,-0.18,-2.97
134,1.0391,-0.01,0.18,-0.09,0.06,0.01,-0.2,6.25,0.03,-8.6,11.34,-0.14,21.08,1.63,16.24,-1.5,-6.04,5.84,-6.16,2.53,9.75,0.09,0.11,11.15,-0.29,0.11,13.55,1.49,-0.14,12.97,-2.51,-0.31,11.07,1.47,-0.19,1.35,-2.22,-0.18,-2.97
135,1.0469,0,0.17,-0.08,0.07,0.01,-0.19,6.25,0.03,-8.59,11.35,-0.13,21.09,1.63,16.24,-1.49,-6.04,5.84,-6.16,2.53,9.75,0.08,0.11,11.15,-0.29,0.11,13.55,1.49,-0.14,12.97,-2.51,-0.31,11.07,1.47,-0.19,1.35,-2.22,-0.18,-2.97
136,1.0547,0,0.17,-0.08,0.07,0.01,-0.18,6.25,0.03,-8.58,11.35,-0.13,21.11,1.63,16.24,-1.49,-6.04,5.84,-6.16,2.53,9.75,0.09,0.11,11.15,-0.3,0.12,13.55,1.49,-0.14,12.97,-2.51,-0.32,11.07,1.47,-0.2,1.35,-2.22,-0.18,-2.96
137,1.0625,0,0.16,-0.07,0.07,0.01,-0.17,6.24,0.04,-8.57,11.36,-0.12,21.12,1.64,16.24,-1.48,-6.04,5.84,-6.16,2.52,9.75,0.09,0.12,11.15,-0.3,0.12,13.56,1.49,-0.14,12.97,-2.51,-0.32,11.08,1.47,-0.2,1.35,-2.22,-0.17,-2.96
138,1.0703,0,0.16,-0.07,0.07,0.01,-0.16,6.24,0.05,-8.56,11.36,-0.12,21.13,1.65,16.24,-1.48,-6.05,5.84,-6.16,2.52,9.75,0.08,0.12,11.15,-0.3,0.13,13.56,1.48,-0.14,12.97,-2.51,-0.32,11.08,1.47,-0.2,1.35,-2.22,-0.17,-2.96
139,1.0781,-0.01,0.16,-0.06,0.07,0.01,-0.15,6.24,0.07,-8.55,11.37,-0.13,21.15,1.66,16.24,-1.48,-6.05,5.84,-6.16,2.52,9.75,0.08,0.12,11.16,-0.3,0.13,13.56,1.48,-0.14,12.97,-2.52,-0.33,11.08,1.47,-0.2,1.35,-2.22,-0.16,-2.96
140,1.0859,-0.01,0.16,-0.05,0.07,0,-0.13,6.24,0.09,-8.54,11.37,-0.13,21.16,1.67,16.24,-1.48,-6.05,5.85,-6.16,2.52,9.74,0.08,0.13,11.16,-0.3,0.13,13.56,1.48,-0.14,12.97,-2.52,-0.33,11.08,1.47,-0.2,1.35,-2.22,-0.16,-2.96
141,1.0938,-0.02,0.16,-0.05,0.07,0,-0.12,6.24,0.11,-8.53,11.37,-0.14,21.17,1.69,16.24,-1.48,-6.06,5.85,-6.16,2.52,9.74,0.08,0.13,11.15,-0.3,0.13,13.56,1.47,-0.14,12.98,-2.52,-0.34,11.08,1.47,-0.2,1.35,-2.22,-0.17,-2.96
142,1.1016,-0.03,0.16,-0.04,0.07,0,-0.1,6.24,0.13,-8.52,11.37,-0.14,21.18,1.7,16.25,-1.48,-6.06,5.85,-6.16,2.52,9.74,0.08,0.14,11.15,-0.3,0.13,13.56,1.47,-0.14,12.98,-2.52,-0.34,11.09,1.47,-0.2,1.35,-2.22,-0.17,-2.96
143,1.1094,-0.04,0.17,-0.04,0.07,-0.01,-0.09,6.24,0.14,-8.51,11.37,-0.15,21.19,1.71,16.25,-1.48,-6.06,5.85,-6.16,2.52,9.74,0.08,0.14,11.15,-0.3,0.12,13.55,1.46,-0.14,12.98,-2.52,-0.34,11.09,1.47,-0.2,1.35,-2.22,-0.17,-2.96
144,1.1172,-0.05,0.17,-0.04,0.07,-0.01,-0.08,6.25,0.16,-8.5,11.36,-0.15,21.19,1.72,16.25,-1.48,-6.06,5.85,-6.16,2.52,9.73,0.08,0.14,11.15,-0.31,0.12,13.55,1.46,-0.14,12.98,-2.52,-0.34,11.09,1.47,-0.2,1.35,-2.22,-0.17,-2.95
145,1.125,-0.05,0.17,-0.04,0.07,-0.01,-0.06,6.25,0.16,-8.5,11.36,-0.15,21.2,1.73,16.26,-1.48,-6.06,5.85,-6.16,2.52,9.73,0.08,0.14,11.15,-0.31,0.12,13.55,1.46,-0.14,12.98,-2.53,-0.34,11.09,1.47,-0.2,1.36,-2.23,-0.17,-2.95
